nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
public|dp_guard_company_owner_transfer||t|search_path=public|f|f|t
public|dp_guard_transicao_regime||t|search_path=public|f|f|t
public|dp_indisp_deriva_company||t|search_path=public|f|f|t
public|dp_indisponibilidade_marcar|p_data date, p_motivo text, p_confirmar_conflito boolean, p_ciencia_multa boolean|t|search_path=public|f|t|t
public|dp_indisponibilidade_remover|p_data date|t|search_path=public|f|t|t
public|dp_jornada_dia_prevista|p_colaborador uuid, p_data date|t|search_path=public|f|t|t
public|dp_meu_acesso_portal||t|search_path=public|f|t|t
public|dp_meu_colaborador||t|search_path=public|f|t|t
public|dp_meu_vinculo||t|search_path=public|f|t|t
public|dp_meus_dias_fixos_folga|_data date|t|search_path=public|f|t|t
public|dp_minha_disponibilidade_janela|_competencia date|t|search_path=public|f|t|t
public|dp_notif_disciplinar||t|search_path=public|f|f|t
public|dp_notif_solicitacao||t|search_path=public|f|f|t
public|dp_notif_troca||t|search_path=public|f|f|t
public|dp_notificacao_marcar_lida|_ids uuid[]|t|search_path=public|f|t|t
public|dp_notificacoes_marcar_todas|_company_id uuid|t|search_path=public|f|t|t
public|dp_notificar_admins_empresa|_company_id uuid, _tipo text, _titulo text, _descricao text, _ref_table text, _ref_id uuid|t|search_path=public|f|t|t
public|dp_notificar_criador_ocorrencia|_ocorrencia_id uuid, _titulo text, _descricao text|t|search_path=public|f|t|t
